Book ID,Title,Date,Most Common Words
45,Anne of Green Gables by L. M.  Montgomery (392),"Jun 27, 2008","[('anne', 991), ('marilla', 707), ('said', 639), ('mrs', 388), ('diana', 346), ('would', 337), ('donât', 310), ('matthew', 308), ('iâm', 298), ('think', 298)]"
24869,"The Rámáyan of Válmíki, translated into English verse by Valmiki (391)","Mar 18, 2008","[('thy', 2330), ('rãma', 1502), ('thou', 1398), ('king', 1332), ('thus', 1324), ('thee', 1127), ('like', 1081), ('canto', 1068), ('lord', 1067), ('son', 1042)]"
72110,The brother's return and other stories by A. L. O. E. (388),"Nov 13, 2023","[('little', 61), ('said', 38), ('one', 36), ('would', 30), ('ralph', 27), ('mary', 24), ('child', 23), ('never', 21), ('jemmy', 21), ('boy', 19)]"
2000,Don Quijote by Miguel de Cervantes Saavedra (383),"Dec 1, 1999","[('que', 20724), ('de', 18394), ('la', 10488), ('el', 8258), ('en', 8247), ('los', 4765), ('se', 4751), ('con', 4256), ('por', 3899), ('lo', 3489)]"
35,The Time Machine by H. G.  Wells (382),"Oct 2, 2004","[('time', 199), ('little', 112), ('upon', 111), ('came', 107), ('one', 106), ('could', 93), ('said', 89), ('project', 88), ('saw', 88), ('machine', 87)]"
120,Treasure Island by Robert Louis Stevenson (370),"Feb 26, 2006","[('said', 321), ('one', 257), ('man', 214), ('captain', 199), ('like', 197), ('silver', 182), ('could', 173), ('us', 167), ('would', 164), ('upon', 152)]"
2852,The Hound of the Baskervilles by Arthur Conan Doyle (369),"Oct 1, 2001","[('sir', 321), ('upon', 316), ('said', 240), ('one', 227), ('could', 199), ('man', 192), ('would', 190), ('âi', 178), ('us', 176), ('holmes', 170)]"
16,Peter Pan by J. M.  Barrie (367),"Jun 25, 2008","[('said', 358), ('peter', 325), ('wendy', 284), ('would', 212), ('one', 206), ('âi', 160), ('could', 140), ('cried', 136), ('hook', 136), ('time', 111)]"
30254,The Romance of Lust: A classic Victorian erotic novel by Anonymous (360),"Oct 14, 2009","[('prick', 642), ('could', 612), ('would', 575), ('dear', 518), ('time', 467), ('delicious', 444), ('cunt', 431), ('one', 418), ('us', 401), ('first', 396)]"
74,"The Adventures of Tom Sawyer, Complete by Mark Twain (355)","Jul 1, 2004","[('tom', 611), ('said', 352), ('would', 231), ('donât', 200), ('time', 177), ('one', 177), ('huck', 176), ('could', 175), ('got', 167), ('upon', 148)]"
11030,"Incidents in the Life of a Slave Girl, Written by Herself by Harriet A.  Jacobs (349)","Feb 1, 2004","[('would', 485), ('said', 288), ('children', 265), ('could', 261), ('one', 208), ('grandmother', 181), ('old', 172), ('came', 167), ('told', 164), ('never', 163)]"
3207,Leviathan by Thomas Hobbes (347),"May 1, 2002","[('god', 1068), ('man', 1050), ('men', 973), ('one', 832), ('power', 745), ('law', 665), ('therefore', 607), ('may', 591), ('shall', 585), ('also', 583)]"
72108,Theaetetus by Plato (347),"Nov 12, 2023","[('het', 1909), ('de', 1858), ('en', 1591), ('van', 1310), ('dat', 1274), ('niet', 934), ('te', 880), ('die', 681), ('maar', 600), ('ik', 579)]"
2600,War and Peace by graf Leo Tolstoy (346),"Apr 1, 2001","[('said', 2826), ('one', 1980), ('prince', 1833), ('pierre', 1769), ('would', 1347), ('could', 1110), ('natãsha', 1048), ('man', 1019), ('andrew', 1015), ('face', 890)]"
16328,Beowulf: An Anglo-Saxon Epic Poem (343),"Jul 19, 2005","[('beowulf', 217), ('one', 131), ('hrothgar', 101), ('project', 90), ('grendel', 83), ('king', 82), ('would', 78), ('thou', 70), ('many', 69), ('shall', 67)]"
41445,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (339)","Nov 23, 2012","[('one', 193), ('could', 182), ('would', 176), ('yet', 157), ('man', 126), ('upon', 125), ('father', 123), ('may', 119), ('every', 115), ('might', 111)]"
72115,Dogs as home companions : by Albert Frederick Hochwalt (337),"Nov 13, 2023","[('dog', 305), ('one', 146), ('dogs', 109), ('may', 105), ('many', 59), ('breed', 58), ('well', 57), ('must', 53), ('good', 52), ('breeds', 50)]"
1998,Thus Spake Zarathustra: A Book for All and None by Friedrich Wilhelm Nietzsche (337),"Dec 1, 1999","[('thou', 795), ('one', 681), ('ye', 624), ('zarathustra', 589), ('hath', 400), ('thy', 376), ('thus', 368), ('however', 362), ('man', 349), ('unto', 347)]"
600,Notes from the Underground by Fyodor Dostoyevsky (329),"Jul 1, 1996","[('one', 197), ('would', 197), ('even', 144), ('though', 135), ('man', 121), ('could', 106), ('project', 88), ('know', 88), ('time', 83), ('like', 80)]"
7370,Second Treatise of Government by John Locke (329),"Jan 1, 2005","[('power', 416), ('one', 313), ('sect', 253), ('may', 241), ('right', 230), ('government', 217), ('people', 207), ('men', 207), ('nature', 205), ('society', 204)]"
996,Don Quixote by Miguel de Cervantes Saavedra (320),"Jul 27, 2004","[('said', 2618), ('quixote', 2082), ('sancho', 1898), ('one', 1544), ('would', 1241), ('thou', 1155), ('say', 860), ('good', 830), ('may', 811), ('see', 750)]"
67098,Winnie-the-Pooh by A. A.  Milne (317),"Jan 3, 2022","[('said', 557), ('pooh', 370), ('piglet', 214), ('christopher', 163), ('robin', 158), ('eeyore', 112), ('rabbit', 99), ('project', 88), ('thought', 84), ('little', 81)]"
2680,Meditations by Emperor of Rome Marcus Aurelius (316),"Jun 1, 2001","[('thou', 821), ('things', 554), ('unto', 439), ('thy', 347), ('one', 333), ('man', 324), ('thee', 312), ('nature', 268), ('doth', 253), ('either', 240)]"
58585,The Prophet by Kahlil Gibran (315),"Jan 1, 2019","[('shall', 113), ('project', 88), ('would', 64), ('work', 59), ('gutenbergtm', 56), ('us', 55), ('may', 50), ('upon', 50), ('heart', 49), ('said', 48)]"
1399,Anna Karenina by graf Leo Tolstoy (314),"Jul 1, 1998","[('said', 2719), ('levin', 1497), ('one', 1110), ('would', 1036), ('could', 970), ('vronsky', 751), ('anna', 698), ('âi', 697), ('went', 660), ('go', 626)]"
3296,The Confessions of St. Augustine by Bishop of Hippo Saint Augustine (312),"Jun 1, 2002","[('thou', 1087), ('thee', 921), ('thy', 898), ('things', 553), ('yet', 521), ('god', 507), ('unto', 354), ('one', 349), ('us', 317), ('lord', 306)]"
3825,Pygmalion by Bernard Shaw (311),"Mar 1, 2003","[('higgins', 555), ('mrs', 268), ('pickering', 198), ('liza', 166), ('donât', 155), ('girl', 152), ('eliza', 128), ('doolittle', 127), ('like', 104), ('pearce', 104)]"
158,Emma by Jane Austen (311),"Aug 1, 1994","[('mr', 1089), ('could', 822), ('would', 804), ('emma', 721), ('mrs', 669), ('must', 569), ('miss', 565), ('said', 468), ('much', 465), ('every', 419)]"
730,Oliver Twist by Charles Dickens (309),"Nov 1, 1996","[('said', 1230), ('mr', 1067), ('oliver', 732), ('upon', 475), ('replied', 464), ('old', 446), ('one', 430), ('âi', 430), ('would', 400), ('bumble', 342)]"
2148,The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe (305),"Apr 1, 2000","[('upon', 508), ('one', 272), ('could', 216), ('said', 178), ('would', 176), ('even', 143), ('yet', 129), ('long', 125), ('thus', 123), ('made', 118)]"
1497,The Republic by Plato (304),"Oct 1, 1998","[('said', 1115), ('one', 910), ('may', 831), ('state', 681), ('good', 648), ('would', 610), ('man', 593), ('true', 575), ('must', 481), ('like', 475)]"
244,A Study in Scarlet by Arthur Conan Doyle (302),"Apr 1, 1995","[('said', 206), ('upon', 199), ('one', 153), ('man', 127), ('would', 118), ('âi', 107), ('could', 98), ('project', 83), ('holmes', 83), ('little', 81)]"
72107,"Married or single?, Vol. II (of 3) by B. M.  Croker (298)","Nov 12, 2023","[('mr', 123), ('madeline', 116), ('one', 110), ('would', 109), ('west', 108), ('mrs', 97), ('said', 97), ('miss', 94), ('little', 94), ('laurence', 86)]"
36,The War of the Worlds by H. G.  Wells (292),"Oct 1, 2004","[('one', 192), ('upon', 173), ('said', 166), ('martians', 160), ('people', 159), ('came', 148), ('saw', 131), ('towards', 129), ('time', 119), ('could', 117)]"
514,Little Women by Louisa May Alcott (288),"May 1, 1996","[('jo', 1190), ('said', 824), ('little', 719), ('one', 683), ('meg', 615), ('like', 563), ('amy', 547), ('laurie', 524), ('donât', 461), ('âi', 447)]"
215,The call of the wild by Jack London (284),"Jul 2, 2008","[('buck', 306), ('dogs', 109), ('one', 109), ('man', 92), ('back', 85), ('project', 83), ('could', 81), ('upon', 81), ('thornton', 81), ('men', 73)]"
10007,Carmilla by Joseph Sheridan Le Fanu (282),"Nov 1, 2003","[('said', 113), ('project', 88), ('father', 86), ('one', 82), ('could', 78), ('little', 74), ('upon', 71), ('us', 71), ('room', 66), ('time', 63)]"
10,The King James Version of the Bible (264),"Aug 1, 1989","[('shall', 9840), ('unto', 8997), ('lord', 7830), ('thou', 5474), ('thy', 4600), ('god', 4443), ('said', 3999), ('ye', 3983), ('thee', 3826), ('upon', 2750)]"
161,Sense and Sensibility by Jane Austen (260),"Sep 1, 1994","[('elinor', 597), ('could', 569), ('mrs', 520), ('would', 505), ('marianne', 464), ('said', 385), ('every', 373), ('one', 296), ('must', 287), ('much', 286)]"
1251,Le Morte d'Arthur: Volume 1 by Sir Thomas Malory (258),"Mar 1, 1998","[('sir', 4580), ('said', 2173), ('king', 1789), ('knight', 1543), ('ye', 1214), ('tristram', 1060), ('knights', 816), ('came', 813), ('unto', 802), ('shall', 792)]"
26,Paradise Lost by John Milton (253),"Feb 1, 1992","[('thou', 435), ('thy', 419), ('thee', 359), ('heaven', 350), ('thus', 319), ('shall', 286), ('god', 240), ('yet', 227), ('though', 217), ('earth', 205)]"
521,The Life and Adventures of Robinson Crusoe by Daniel Defoe (250),"May 1, 1996","[('could', 567), ('upon', 543), ('would', 481), ('one', 420), ('two', 358), ('made', 350), ('great', 341), ('might', 301), ('found', 292), ('came', 283)]"
1250,Anthem by Ayn Rand (246),"Mar 1, 1998","[('us', 231), ('men', 145), ('one', 106), ('upon', 95), ('project', 87), ('shall', 74), ('work', 73), ('brothers', 67), ('know', 59), ('great', 59)]"
